 
================================================================================
                                                                                
               fso-data-check utility for TIO data @ fso                  
                       Release 20190721-0931                                    
                                                                                
20190913 20:30:02 : Checking the fits file numbers & size                    
                    @ /cygdrive/e/20190913/TIO                                                     
                    Please wait...                                              
                    Press ctrl-c to break!                                      
                                                                                
================================================================================
 
20190913 20:30:03: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:04: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:05: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:06: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:07: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:08: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:09: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:10: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:11: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:12: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:13: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:15: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:16: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:17: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:18: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:19: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:20: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:21: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:22: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:23: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:24: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:25: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:26: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:27: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:28: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:29: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:30: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:32: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:33: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:34: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:35: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:36: Getting TIO fits file(s) info, Please Wait...   
20190913 20:30:37: Getting TIO fits file(s) info, Please Wait...   
